cell,age,damage,threshold
1,0.0,0.0,26.1623
1,1.0,1.0184,26.1623
1,2.0,2.0359,26.1623
1,3.0,3.2182,26.1623
1,4.0,4.2222,26.1623
1,5.0,5.3365,26.1623
1,6.0,6.3869,26.1623
1,7.0,7.5109,26.1623
1,8.0,8.8198,26.1623
1,9.0,10.0976,26.1623
1,10.0,11.4319,26.1623
1,11.0,12.8291,26.1623
1,12.0,14.204,26.1623
1,13.0,15.6241,26.1623
1,14.0,17.0553,26.1623
1,15.0,18.4839,26.1623
1,16.0,19.9733,26.1623
1,17.0,21.5667,26.1623
1,18.0,23.3432,26.1623
1,19.0,25.0645,26.1623
1,20.0,26.8454,26.1623
2,0.0,0.0,26.3404
2,1.0,0.9593,26.3404
2,2.0,1.9441,26.3404
2,3.0,2.9699,26.3404
2,4.0,4.0939,26.3404
2,5.0,5.2081,26.3404
2,6.0,6.3691,26.3404
2,7.0,7.5574,26.3404
2,8.0,8.8695,26.3404
2,9.0,10.1117,26.3404
2,10.0,11.3462,26.3404
2,11.0,12.7764,26.3404
2,12.0,14.2227,26.3404
2,13.0,15.563,26.3404
2,14.0,16.8544,26.3404
2,15.0,18.3202,26.3404
2,16.0,19.9323,26.3404
2,17.0,21.5301,26.3404
2,18.0,23.0862,26.3404
2,19.0,24.6948,26.3404
2,20.0,26.5987,26.3404
3,0.0,0.0,20.5849
3,1.0,1.0297,20.5849
3,2.0,1.9771,20.5849
3,3.0,3.0375,20.5849
3,4.0,4.1569,20.5849
3,5.0,5.2514,20.5849
3,6.0,6.4023,20.5849
3,7.0,7.5688,20.5849
3,8.0,8.7916,20.5849
3,9.0,10.0814,20.5849
3,10.0,11.3817,20.5849
3,11.0,12.7565,20.5849
3,12.0,14.1282,20.5849
3,13.0,15.5151,20.5849
3,14.0,16.9915,20.5849
3,15.0,18.4518,20.5849
3,16.0,19.9012,20.5849
3,17.0,21.5127,20.5849
4,0.0,0.0,59.2025
4,1.0,0.9961,59.2025
4,2.0,2.0467,59.2025
4,3.0,3.1235,59.2025
4,4.0,4.2135,59.2025
4,5.0,5.3745,59.2025
4,6.0,6.5948,59.2025
4,7.0,7.7894,59.2025
4,8.0,8.9879,59.2025
4,9.0,10.2031,59.2025
4,10.0,11.4954,59.2025
4,11.0,12.7829,59.2025
4,12.0,14.1967,59.2025
4,13.0,15.5289,59.2025
4,14.0,17.0077,59.2025
4,15.0,18.4987,59.2025
4,16.0,19.9155,59.2025
4,17.0,21.4116,59.2025
4,18.0,23.1698,59.2025
4,19.0,24.9145,59.2025
4,20.0,26.7422,59.2025
4,21.0,28.7038,59.2025
4,22.0,30.6934,59.2025
4,23.0,32.6528,59.2025
4,24.0,34.5316,59.2025
4,25.0,36.5051,59.2025
4,26.0,38.806,59.2025
4,27.0,40.8992,59.2025
4,28.0,43.1502,59.2025
4,29.0,45.4588,59.2025
4,30.0,47.8084,59.2025
4,31.0,50.4533,59.2025
4,32.0,53.0471,59.2025
4,33.0,55.659,59.2025
4,34.0,58.3316,59.2025
4,35.0,61.1831,59.2025
5,0.0,0.0,18.5643
5,1.0,1.027,18.5643
5,2.0,2.1299,18.5643
5,3.0,3.0951,18.5643
5,4.0,4.2257,18.5643
5,5.0,5.2937,18.5643
5,6.0,6.4469,18.5643
5,7.0,7.7414,18.5643
5,8.0,9.0103,18.5643
5,9.0,10.3106,18.5643
5,10.0,11.6018,18.5643
5,11.0,13.065,18.5643
5,12.0,14.3301,18.5643
5,13.0,15.8518,18.5643
5,14.0,17.3555,18.5643
5,15.0,18.8728,18.5643
