age,weight,newborn_size,mother_body
0,0.5,19.2,
1,0.25,21.5514,60.0
2,0.125,23.7379,63.1726
3,0.0625,25.7543,65.9724
4,0.03125,27.6015,68.4432
5,0.015625,29.2842,70.6237
6,0.0078125,30.8102,72.5479
7,0.00390625,32.1888,74.2461
8,0.00195312,33.4304,75.7447
9,0.00097656,34.5454,77.0673
10,0.00048828,35.5445,78.2344
11,0.00024414,36.4379,79.2644
12,0.00012207,37.2355,80.1733
13,6.104e-5,37.9465,80.9755
14,3.052e-5,38.5795,81.6834
15,1.526e-5,39.1425,82.3081
16,7.63e-6,39.6426,82.8594
17,3.81e-6,40.0867,83.3459
18,1.91e-6,40.4805,83.7753
19,9.5e-7,40.8297,84.1542
20,4.8e-7,41.1391,84.4886
