population,size_over_Vstar,fraction
extant,0.01022,0.0
extant,0.03066,0.0
extant,0.05109,0.0
extant,0.07153,0.0
extant,0.09197,0.0
extant,0.11241,0.0
extant,0.13284,0.0
extant,0.15328,0.0
extant,0.17372,0.0
extant,0.19416,0.0
extant,0.21459,0.0
extant,0.23503,0.0
extant,0.25547,0.0
extant,0.27591,0.0
extant,0.29634,0.0
extant,0.31678,0.25
extant,0.33722,0.0
extant,0.35766,0.125
extant,0.37809,0.0
extant,0.39853,0.0625
extant,0.41897,0.0
extant,0.43941,0.03125
extant,0.45984,0.015625
extant,0.48028,0.007812
extant,0.50072,0.0
extant,0.52116,0.003906
extant,0.54159,0.001953
extant,0.56203,0.000977
extant,0.58247,0.000732
extant,0.6029,0.000122
extant,0.62334,9.2e-5
extant,0.64378,2.3e-5
extant,0.66422,6.0e-6
extant,0.68465,2.0e-6
extant,0.70509,0.0
extant,0.72553,0.0
extant,0.74597,0.0
extant,0.7664,0.0
extant,0.78684,0.0
extant,0.80728,0.0
extant,0.82772,0.0
extant,0.84815,0.0
extant,0.86859,0.0
extant,0.88903,0.0
extant,0.90947,0.0
extant,0.9299,0.0
extant,0.95034,0.0
extant,0.97078,0.0
extant,0.99122,0.25
extant,1.01165,0.0
extant,1.03209,0.0
extant,1.05253,0.125
extant,1.07297,0.0
extant,1.0934,0.0625
extant,1.11384,0.0
extant,1.13428,0.03125
extant,1.15472,0.0
extant,1.17515,0.015625
extant,1.19559,0.0
extant,1.21603,0.007812
extant,1.23647,0.003906
extant,1.2569,0.001953
extant,1.27734,0.000977
extant,1.29778,0.000488
extant,1.31822,0.000244
extant,1.33865,0.000122
extant,1.35909,9.2e-5
extant,1.37953,2.7e-5
extant,1.39997,4.0e-6
extant,1.4204,0.0
newborn,0.01022,0.0
newborn,0.03066,0.0
newborn,0.05109,0.0
newborn,0.07153,0.0
newborn,0.09197,0.0
newborn,0.11241,0.0
newborn,0.13284,0.0
newborn,0.15328,0.0
newborn,0.17372,0.0
newborn,0.19416,0.0
newborn,0.21459,0.0
newborn,0.23503,0.0
newborn,0.25547,0.0
newborn,0.27591,0.0
newborn,0.29634,0.0
newborn,0.31678,0.5
newborn,0.33722,0.0
newborn,0.35766,0.25
newborn,0.37809,0.0
newborn,0.39853,0.125
newborn,0.41897,0.0
newborn,0.43941,0.0625
newborn,0.45984,0.03125
newborn,0.48028,0.015625
newborn,0.50072,0.0
newborn,0.52116,0.007812
newborn,0.54159,0.003906
newborn,0.56203,0.001953
newborn,0.58247,0.001465
newborn,0.6029,0.000244
newborn,0.62334,0.000183
newborn,0.64378,4.6e-5
newborn,0.66422,1.1e-5
newborn,0.68465,4.0e-6
newborn,0.70509,0.0
newborn,0.72553,0.0
newborn,0.74597,0.0
newborn,0.7664,0.0
newborn,0.78684,0.0
newborn,0.80728,0.0
newborn,0.82772,0.0
newborn,0.84815,0.0
newborn,0.86859,0.0
newborn,0.88903,0.0
newborn,0.90947,0.0
newborn,0.9299,0.0
newborn,0.95034,0.0
newborn,0.97078,0.0
newborn,0.99122,0.0
newborn,1.01165,0.0
newborn,1.03209,0.0
newborn,1.05253,0.0
newborn,1.07297,0.0
newborn,1.0934,0.0
newborn,1.11384,0.0
newborn,1.13428,0.0
newborn,1.15472,0.0
newborn,1.17515,0.0
newborn,1.19559,0.0
newborn,1.21603,0.0
newborn,1.23647,0.0
newborn,1.2569,0.0
newborn,1.27734,0.0
newborn,1.29778,0.0
newborn,1.31822,0.0
newborn,1.33865,0.0
newborn,1.35909,0.0
newborn,1.37953,0.0
newborn,1.39997,0.0
newborn,1.4204,0.0
