age,weight,newborn_size
0,0.5,19.2
1,0.25,21.5514
2,0.125,23.7379
3,0.0625,25.7543
4,0.03125,27.6015
5,0.015625,29.2842
6,0.0078125,30.8102
7,0.00390625,32.1888
8,0.00195312,33.4304
9,0.00097656,34.5454
10,0.00048828,35.5445
11,0.00024414,36.4379
12,0.00012207,37.2355
13,6.104e-5,37.9465
14,3.052e-5,38.5795
15,1.526e-5,39.1425
16,7.63e-6,39.6426
17,3.81e-6,40.0867
18,1.91e-6,40.4805
19,9.5e-7,40.8297
20,4.8e-7,41.1391
21,2.4e-7,41.4132
22,1.2e-7,41.6557
23,6.0e-8,41.8704
24,3.0e-8,42.0603
25,1.0e-8,42.2282
