age,count,fraction,geometric
0,524202,0.49999475,0.5
1,262103,0.24999928,0.25
2,131053,0.12500107,0.125
3,65528,0.06250197,0.0625
4,32764,0.03125098,0.03125
5,16382,0.01562549,0.015625
6,8191,0.00781275,0.0078125
7,4098,0.00390876,0.00390625
8,2049,0.00195438,0.00195312
9,1024,0.00097671,0.00097656
10,512,0.00048836,0.00048828
11,257,0.00024513,0.00024414
12,128,0.00012209,0.00012207
13,62,5.914e-5,6.104e-5
14,31,2.957e-5,3.052e-5
15,17,1.621e-5,1.526e-5
16,7,6.68e-6,7.63e-6
17,4,3.82e-6,3.81e-6
18,1,9.5e-7,1.91e-6
19,1,9.5e-7,9.5e-7
20,1,9.5e-7,4.8e-7
